"Ind. Grav.
(M/M+FGx100)",,Total,"<= 24
anos","25-44
anos","45-64
anos",">= 65
anos"
1999,Fem.,"13,7","8,0","5,6","11,0","21,0"
,Masc.,"22,1","11,9","22,9","25,9","26,6"
,Total,"18,3","10,5","16,6","19,5","23,6"
2000,Fem.,"13,2","3,4","5,5","18,0","19,2"
,Masc.,"24,5","11,5","27,5","25,0","32,9"
,Total,"19,8","8,9","19,7","22,0","26,3"
2001,Fem.,"19,5","11,6","17,8","20,2","22,2"
,Masc.,"22,4","10,3","19,9","28,4","26,6"
,Total,"21,2","10,7","19,3","25,2","24,5"
2002,Fem.,"20,9","10,6","15,5","24,8","26,7"
,Masc.,"26,9","10,2","31,0","31,3","32,1"
,Total,"24,7","10,3","26,4","28,9","29,8"
2003,Fem.,"17,3","13,2","8,0","13,9","24,9"
,Masc.,"24,6","10,4","22,9","26,2","32,9"
,Total,"21,4","11,7","17,7","20,9","29,1"
