1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,359,5805,546,933,,5629,7149,9139,66,,,,
,,,,,,,,"994
5",,,,,,,,0115,84,,84,03854,84,4,4,4,974,"9514
12 91
5",,,
,,,,,,,,,,,,,,,994,,,,,,,,,,,9514,,,
,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5
656,,,,,,,,,,,,,,1914,34,4,,,,,,,,,,4,524,224,9414
90 73 133 688 065,,,,,,,42353,,,,,,83,,,,,,,,,,,,,,,,
90,,,,,688,065,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,86503,26003,623,33,33,33,,,58213,5529 6519,,58403,,,,,,,,,,,,,,,,,
,,,,,,,,,,5529,6519,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
