,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,vítimas,,mortais,,graves,,Feridos leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
2ªFeira,6023,5898,185,169,646,595,7046,7014,7877,7778,"3,1","2,9"
3ªFeira,5843,5591,183,153,606,563,6943,6575,7732,7291,"3,1","2,7"
,,,,,,,,,,,,
4ªFeira,5665,5813,168,167,578,627,6720,6703,7466,7497,"3,0","2,9"
,,,,,,,,,,,,
5ªFeira,5595,5639,155,173,598,560,6652,6698,7405,7431,"2,8","3,1"
6ªFeira,6491,6269,244,193,717,730,7875,7429,8836,8352,"3,8","3,1"
,,,,,,,,,,,,
Sábado,6316,6390,232,234,776,783,7979,8166,8987,9183,"3,7","3,7"
,,,,,,,,,,,,
Domingo,6286,5895,302,267,849,801,8600,8014,9751,9082,"4,8","4,5"
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
,,,,,,,,,,,,
