,,,,,,
,Até 1 ano,,1 ano,,2 anos,
,,,,,,
,,,,,,
,2002,2003,2002,2003,2002,2003
Ciclomotores,166,140,367,282,417,308
,,,,,,
Motociclos,385,303,687,533,585,514
,,,,,,
Veículos ligeiros,2263,1638,4458,3685,4886,4271
,,,,,,
Veículos pesados,88,49,243,162,266,247
,,,,,,
Sub-total,2902,2130,5755,4662,6154,5340
,,,,,,
,,,,,,
,3 anos,,4 anos,,5 a 9 anos,
,,,,,,
,,,,,,
,2002,2003,2002,2003,2002,2003
Ciclomotores,501,417,455,442,1422,1467
,,,,,,
Motociclos,536,519,468,442,1200,1376
,,,,,,
Veículos ligeiros,4803,4883,4428,4448,16104,16407
,,,,,,
Veículos pesados,321,298,294,279,854,875
,,,,,,
Sub-total,6161,6117,5645,5611,19580,20125
,,,,,,
,,,,,,
,10 a 14 anos,,15 a 19 anos,,>=20 anos,
,,,,,,
,,,,,,
,2002,2003,2002,2003,2002,2003
Ciclomotores,1643,1500,318,549,380,448
,,,,,,
Motociclos,458,529,69,93,68,76
,,,,,,
Veículos ligeiros,11423,11699,2735,3376,843,857
,,,,,,
Veículos pesados,742,655,237,281,203,173
,,,,,,
Sub-total,14266,14383,3359,4299,1494,1554
,,,,,,
