,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Feridos leves,3191,3175,3315,3139,6527,6326
,,,,,,
<=5,149,132,211,232,362,366
6-9,215,189,314,282,529,472
10-14,243,274,293,289,536,563
15-19,247,214,152,181,400,395
20-24,165,163,192,165,358,328
25-29,153,183,198,163,352,346
30-34,178,149,187,194,365,344
35-39,144,134,191,151,335,285
40-44,165,165,184,165,349,330
45-49,149,187,167,162,316,350
50-54,193,202,165,156,358,358
55-59,168,178,165,137,335,315
60-64,193,190,167,162,360,352
>=65,798,797,689,675,1490,1473
Não def.,31,18,40,25,82,49
Total de vítimas,3646,3661,4061,3798,7730,7474
,,,,,,
<=5,161,159,238,264,401,425
6-9,243,212,348,326,591,539
10-14,274,295,346,307,620,602
15-19,265,234,171,198,437,432
20-24,180,178,216,188,397,366
25-29,171,201,236,180,408,381
30-34,192,167,224,232,416,400
35-39,161,155,238,191,399,347
40-44,187,183,233,214,420,397
45-49,170,211,224,201,394,413
50-54,219,228,201,188,420,416
55-59,193,204,207,172,402,376
60-64,222,222,211,201,433,423
>=65,974,990,913,894,1890,1886
Não def.,34,22,55,42,102,71
