,,,Feridos graves,,,,,
,Vítimas mortais,,,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,652,,,,
Dia,178,164,723,,10657,10566,11558,11382
,,,,5,,,,
Com sol encadeante,2,0,9,,69,61,80,66
Em pleno dia,176,164,714,647,10588,10505,11478,11316
Noite,162,110,515,499,5293,5042,5970,5651
,,,,257,,,,
De noite em via com iluminação,64,45,271,,3185,3104,3520,3406
,,,,242,,,,
De noite em via sem iluminação,98,65,244,,2108,1938,2450,2245
,,,,1152,,,,
Total (1),340,274,1239,,16002,15643,17581,17069
