,15-19,,25-29,30-34,35-39,,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,,20-24,,,,40-44,,,,,,
,,,,,,,,,,,,
,2,,15,12,10,,13,5,6,5,24,108
Segunda,,7,,,,9,,,,,,
,1,,13,13,6,,8,9,7,8,9,91
Terça,,14,,,,1,,,,,,
,3,,18,9,8,,8,6,7,10,11,110
Quarta,,17,,,,11,,,,,,
,1,,11,7,15,,8,6,2,4,23,105
Quinta,,18,,,,9,,,,,,
,8,,18,14,17,,8,7,5,8,12,123
Sexta,,14,,,,10,,,,,,
,5,,27,18,15,,4,6,4,3,13,140
Sábado,,33,,,,10,,,,,,
,10,,19,18,15,,13,12,1,6,18,159
Domingo,,34,,,,11,,,,,,
,30,,121,91,86,,62,51,32,44,110,836
Total,,137,,,,61,,,,,,
