,Feridos graves,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Auto-Estrada,127,115,132,138,6,5,265,258
Estrada Nacional,995,995,499,484,190,184,1684,1663
Dentro Localidade,355,386,157,200,119,120,631,706
Fora Localidade,640,609,342,284,71,64,1053,957
IP/IC,163,179,130,84,13,15,306,278
Dentro Localidade,10,14,7,10,1,2,18,26
Fora Localidade,153,165,123,74,12,13,288,252
Estrada Municipal,380,433,164,151,59,76,603,660
Dentro Localidade,147,153,66,49,40,46,253,248
Fora Localidade,233,280,98,102,19,30,350,412
Arruamentos,881,839,271,270,632,611,1784,1720
Outras (1),79,44,43,25,6,11,128,80
Dentro Localidade,35,20,16,8,2,6,53,34
Fora Localidade,44,24,27,17,4,5,75,46
Total da rede,2625,2605,1239,1152,906,902,4770,4659
Dentro Localidade,1428,1412,517,537,794,785,2739,2734
Fora Localidade,1197,1193,722,615,112,117,2031,1925
