,Feridos leves,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Auto-Estrada,1499,1601,1316,1329,19,24,2834,2954
Estrada Nacional,9854,9495,5814,5620,823,805,16491,15920
Dentro Localidade,4477,4483,2384,2365,587,585,7448,7433
Fora Localidade,5377,5012,3430,3255,236,220,9043,8487
IP/IC,1724,1559,1239,1193,46,42,3009,2794
Dentro Localidade,144,207,87,104,14,12,245,323
Fora Localidade,1580,1352,1152,1089,32,30,2764,2471
Estrada Municipal,4066,3634,2020,1835,395,360,6481,5829
Dentro Localidade,1706,1509,688,644,258,240,2652,2393
Fora Localidade,2360,2125,1332,1191,137,120,3829,3436
Arruamentos,11518,11781,5205,5324,5202,5058,21925,22163
Outras (1),625,560,408,342,42,37,1075,939
Dentro Localidade,307,276,182,152,29,24,518,452
Fora Localidade,318,284,226,190,13,13,557,487
Total da rede,29286,28630,16002,15643,6527,6326,51815,50599
Dentro Localidade,18152,18256,8546,8589,6090,5919,32788,32764
Fora Localidade,11134,10374,7456,7054,437,407,19027,17835
