,Total de vítimas,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Auto-Estrada,1683,1780,1483,1504,34,39,3200,3323
Estrada Nacional,11236,10893,6473,6232,1148,1068,18857,18193
Dentro Localidade,4967,5020,2575,2603,774,743,8316,8366
Fora Localidade,6269,5873,3898,3629,374,325,10541,9827
IP/IC,1986,1830,1414,1315,75,79,3475,3224
Dentro Localidade,157,226,94,114,21,15,272,355
Fora Localidade,1829,1604,1320,1201,54,64,3203,2869
Estrada Municipal,4582,4186,2228,2022,478,460,7288,6668
Dentro Localidade,1900,1695,769,701,313,299,2982,2695
Fora Localidade,2682,2491,1459,1321,165,161,4306,3973
Arruamentos,12521,12759,5521,5626,5941,5779,23983,24164
Outras (1),735,623,462,370,54,49,1251,1042
Dentro Localidade,352,304,203,161,32,31,587,496
Fora Localidade,383,319,259,209,22,18,664,546
Total da rede,32743,32071,17581,17069,7730,7474,58054,56614
Dentro Localidade,19897,20004,9162,9205,7081,6867,36140,36076
Fora Localidade,12846,12067,8419,7864,649,607,21914,20538
