,,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,,Feridos graves,,Feridos leves,,,
,,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,,
,,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,
,Braga,3163,3051,105,91,317,272,4211,3996,4633,4359
REGIÃO,Bragança,435,482,31,24,69,101,592,581,692,706
NORTE,Porto,5471,6302,152,141,347,469,6982,8046,7481,8656
,V. Castelo,1064,1053,49,45,93,90,1383,1360,1525,1495
,Vila Real,779,739,35,31,83,78,1012,961,1130,1070
,,10912,11627,372,332,909,1010,14180,14944,15461,16286
,,,,,,,,,,,
,Aveiro,3730,3316,128,87,318,271,4538,4050,4984,4408
REGIÃO,C. Branco,611,716,29,31,96,125,753,845,878,1001
CENTRO,Coimbra,2488,2270,69,87,122,133,3076,2789,3267,3009
,Guarda,694,618,31,42,122,107,876,715,1029,864
,Leiria,3122,3096,97,96,311,306,3873,3822,4281,4224
,Viseu,1703,1724,51,66,140,192,2274,2186,2465,2444
,,12348,11740,405,409,1109,1134,15390,14407,16904,15950
,,,,,,,,,,,
REGIÃO DE,Lisboa,7980,7979,171,168,833,910,9385,9348,10389,10426
LISBOA,Santarém,2635,2569,124,116,636,547,3009,2865,3769,3528
E VALE TEJO,Setúbal,3346,2749,115,92,457,299,4035,3426,4607,3817
,,13961,13297,410,376,1926,1756,16429,15639,18765,17771
,,,,,,,,,,,
REGIÃO DO,Beja,730,743,61,56,158,138,899,931,1118,1125
ALENTEJO,Évora,804,818,57,46,172,147,910,931,1139,1124
,Portalegre,543,503,23,29,143,117,612,581,778,727
,,2077,2064,141,131,473,402,2421,2443,3035,2976
,,,,,,,,,,,
R. ALGARVE,Faro,2921,2767,141,108,353,357,3395,3166,3889,3631
,,,,,,,,,,,
TOTAL,,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614
,,,,,,,,,,,
,,2346,2305,82,75,265,259,2879,2811,3225,3145
Média,,,,,,,,,,,
,,,,,,,,,,,
