,,,,Acid. c/ vítimas,,,
,,Acidentes,Parque,,População,,Mortos/100000
,,,,por 1000 veíc.,,Mortos,
,,com vítimas,circulação (1),,(2),,habitantes
,,,,circulação,,,
,,,,,,,
,Braga,3051,379307,"8,0",837850,91,"10,9"
REGIÃO,Bragança,482,70577,"6,8",146595,24,"16,4"
NORTE,Porto,6302,827898,"7,6",1786277,141,"7,9"
,V. Castelo,1053,111901,"9,4",249851,45,"18,0"
,Vila Real,739,100921,"7,3",221464,31,"14,0"
,,11627,1490604,"7,8",3242037,332,"10,2"
,,,,,,,
,Aveiro,3316,388964,"8,5",716949,87,"12,1"
REGIÃO,C. Branco,716,103640,"6,9",204846,31,"15,1"
CENTRO,Coimbra,2270,227025,"10,0",437672,87,"19,9"
,Guarda,618,89858,"6,9",177381,42,"23,7"
,Leiria,3096,276033,"11,2",464713,96,"20,7"
,Viseu,1724,183830,"9,4",393135,66,"16,8"
,,11740,1269350,"9,2",2394696,409,"17,1"
REGIÃO DE,Lisboa,7979,1281361,"6,2",2172955,168,"7,7"
LISBOA,Santarém,2569,250757,"10,2",459696,116,"25,2"
E VALE TEJO,Setúbal,2749,376315,"7,3",808353,92,"11,4"
,,13297,1908433,"7,0",3441004,376,"10,9"
REGIÃO DO,Beja,743,75031,"9,9",157386,56,"35,6"
ALENTEJO,Évora,818,91850,"8,9",170921,46,"26,9"
,Portalegre,503,62441,"8,1",122985,29,"23,6"
,,2064,229322,"9,0",451292,131,"29,0"
R. ALGARVE,Faro,2767,223531,"12,4",398412,108,"27,1"
,,,,,,,
TOTAL,,41495,5121240,"8,1",9927441,1356,"13,7"
