,,Acidentes,Acidentes,,,
,Acidentes,,,,Feridos,Feridos
,,com mortos,com,Mortos,,
,com vítimas,,,,graves,leves
,,e/ou f. graves,mortos,,,
,,,,,,
REGIÃO CENTRO,11740,1247,363,409,1134,14407
,,,,,,
Dentro Localidade,7891,690,164,172,612,9297
,,,,,,
Fora Localidade,3849,557,199,237,522,5110
,,,,,,
Aveiro,3316,293,80,87,271,4050
,,,,,,
Dentro Localidade,2590,207,48,51,185,3051
,,,,,,
Fora Localidade,726,86,32,36,86,999
,,,,,,
C. Branco,716,121,29,31,125,845
,,,,,,
Dentro Localidade,318,51,6,6,52,320
,,,,,,
Fora Localidade,398,70,23,25,73,525
,,,,,,
Coimbra,2270,184,79,87,133,2789
,,,,,,
Dentro Localidade,1567,104,44,46,72,1869
,,,,,,
Fora Localidade,703,80,35,41,61,920
,,,,,,
Guarda,618,123,38,42,107,715
,,,,,,
Dentro Localidade,255,42,8,8,37,277
,,,,,,
Fora Localidade,363,81,30,34,70,438
,,,,,,
Leiria,3096,330,86,96,306,3822
,,,,,,
Dentro Localidade,2146,196,43,45,181,2544
,,,,,,
Fora Localidade,950,134,43,51,125,1278
,,,,,,
Viseu,1724,196,51,66,192,2186
,,,,,,
Dentro Localidade,1015,90,15,16,85,1236
,,,,,,
Fora Localidade,709,106,36,50,107,950
,,,,,,
