Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,284.000,284.100,6,14,0,0,12,36
EN109,41.750,41.950,5,11,0,0,8,24
EN109,47.500,47.550,5,9,0,0,8,24
EN16,4.000,4.100,6,11,0,0,7,21
EN223,17.900,18.100,5,12,0,1,6,28
IC2,207.500,207.600,6,12,1,2,4,132
IC2,208.000,208.200,6,13,0,0,14,42
IP5,13.950,14.150,7,7,0,0,13,39
,,Total,46,89,1,3,72,
Distrito de Castelo Branco,,,,,,,,
,,,,,,,,
,,,,,,,,
IC8,146.000,146.100,5,10,0,2,8,44
,,,,,,,,
Distrito de Coimbra,,,,,,,,
,,,,,,,,
EN17,6.200,6.400,6,8,1,0,7,121
,,,,,,,,
EN17,58.600,58.700,5,10,0,0,8,24
,,,,,,,,
IP3,67.400,67.600,5,8,0,1,4,22
,,,,,,,,
IP3,67.800,68.000,7,11,0,0,10,30
,,Total,23,37,1,1,29,
Distrito de Leiria,,,,,,,,
,,,,,,,,
,,,,,,,,
EN1,117.900,118.100,7,11,2,4,8,264
,,,,,,,,
EN1,130.800,131.000,9,19,0,2,11,53
,,,,,,,,
EN1,135.900,136.100,6,15,0,0,14,42
,,,,,,,,
EN242,17.700,17.900,5,8,0,1,6,28
,,,,,,,,
IC2,119.000,119.050,5,9,2,0,6,218
,,,,,,,,
IC2,121.000,121.200,8,14,0,0,11,33
,,,,,,,,
IC2,121.700,121.900,8,18,1,1,9,137
,,,,,,,,
IC2,126.500,126.700,5,11,1,2,2,126
,,,,,,,,
IC8,91.550,91.600,7,9,0,1,8,34
,,Total,60,114,6,11,75,60
Distrito de Viseu,,,,,,,,
,,,,,,,,
,,,,,,,,
EN231,12.400,12.600,7,9,0,0,10,30
,,,,,,,,
EN231-1,4.700,4.900,6,11,0,0,8,24
,,Total,13,20,0,0,18,
