,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,1168,1013,1162,983,1088,1144,1141,1136,1171,1134,1023,1134,13297
,,,,,,,,,,,,,,
REGIÃO DE,Acid.c/ mortos e f.graves,147,146,123,142,173,163,136,169,147,146,120,138,1750
,,,,,,,,,,,,,,
LISBOA E,Acid.com mortos,32,24,30,37,32,28,29,26,34,25,23,29,349
,,,,,,,,,,,,,,
VALE TEJO,Mortos,32,25,31,38,34,30,29,30,35,31,25,36,376
,,,,,,,,,,,,,,
,F.Graves,140,146,122,136,176,170,122,199,143,153,115,134,1756
,,,,,,,,,,,,,,
,F.Leves,1347,1128,1391,1140,1224,1398,1367,1415,1375,1315,1204,1335,15639
,,,,,,,,,,,,,,
,Acidentes com vítimas,670,596,703,637,657,683,684,648,712,711,609,669,7979
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,69,71,60,74,85,82,66,98,74,78,65,73,895
,,,,,,,,,,,,,,
Lisboa,Acid.com mortos,13,7,12,14,11,15,16,12,15,13,14,13,155
,,,,,,,,,,,,,,
,Mortos,13,8,12,14,12,16,16,15,16,16,15,15,168
,,,,,,,,,,,,,,
,F.Graves,63,74,66,77,86,81,59,114,78,84,59,69,910
,,,,,,,,,,,,,,
,F.Leves,768,656,832,746,753,855,826,776,844,807,714,771,9348
,,,,,,,,,,,,,,
,Acidentes com vítimas,234,181,216,159,212,241,217,238,238,214,193,226,2569
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,56,39,35,44,52,51,48,46,46,41,33,46,537
,,,,,,,,,,,,,,
Santarém,Acid.com mortos,9,6,13,10,10,4,9,8,12,7,8,9,105
,,,,,,,,,,,,,,
,Mortos,9,6,14,10,11,4,9,8,12,10,9,14,116
,,,,,,,,,,,,,,
,F.Graves,58,42,28,43,57,55,45,58,40,38,31,52,547
,,,,,,,,,,,,,,
,F.Leves,253,209,246,156,222,262,243,283,271,245,218,257,2865
,,,,,,,,,,,,,,
,Acidentes com vítimas,264,236,243,187,219,220,240,250,221,209,221,239,2749
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,22,36,28,24,36,30,22,25,27,27,22,19,318
,,,,,,,,,,,,,,
Setúbal,Acid.com mortos,10,11,5,13,11,9,4,6,7,5,1,7,89
,,,,,,,,,,,,,,
,Mortos,10,11,5,14,11,10,4,7,7,5,1,7,92
,,,,,,,,,,,,,,
,F.Graves,19,30,28,16,33,34,18,27,25,31,25,13,299
,,,,,,,,,,,,,,
,F.Leves,326,263,313,238,249,281,298,356,260,263,272,307,3426
,,,,,,,,,,,,,,
