Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,126.500,126.600,5,9,0,0,7,21
EN10,128.500,128.650,6,10,0,2,7,41
EN10,138.300,138.500,6,12,0,0,9,27
EN117,0.800,1.000,6,8,1,0,5,115
EN3,0.450,0.615,7,15,0,0,11,33
EN3,3.920,4.100,6,13,0,1,7,31
EN6,3.800,4.000,11,14,0,1,12,46
EN6,5.000,5.050,6,18,0,0,10,30
EN6,6.150,6.300,6,8,3,1,6,328
EN6,7.400,7.600,6,13,1,1,6,128
EN6,7.800,8.000,7,15,0,0,9,27
EN6,8.100,8.300,6,13,0,1,10,40
EN6-7,2.100,2.300,10,16,0,2,10,50
EN8,24.741,24.820,7,11,0,2,10,50
EN9,8.800,9.000,7,15,0,2,7,41
EN9,9.300,9.500,5,10,0,2,4,32
EN9,59.200,59.400,5,13,0,1,4,22
A1 (1),10.500,10.700,5,7,1,0,4,112
A1 (2),40.800,41.000,5,8,0,0,7,21
A5 (1),0.400,0.600,6,14,0,0,8,24
A5 (2),0.500,0.700,11,19,0,0,14,42
A5 (2),1.500,1.600,5,9,1,1,6,128
A5 (2),4.000,4.200,11,21,0,0,12,36
A5 (1),4.300,4.500,5,12,0,0,10,30
A5 (2),4.300,4.500,6,17,1,0,9,127
A5 (1),6.900,7.100,7,13,0,0,9,27
A5 (2),7.100,7.300,9,13,0,0,9,27
A5 (1),7.300,7.500,9,15,0,0,11,33
A5 (1),7.800,8.000,5,14,0,0,11,33
IC1,1.000,1.120,5,9,1,0,5,115
IC19,0.400,0.600,6,11,0,0,7,21
IC19,0.800,1.000,6,12,0,0,7,21
IC19,2.850,3.000,5,11,1,1,6,128
IC19,5.300,5.500,10,18,0,3,15,75
IC19,5.800,6.000,5,8,0,0,10,30
IC19,6.600,6.800,8,22,0,0,17,51
IC19,7.800,8.000,5,11,0,0,10,30
IC19,8.300,8.500,16,22,0,1,22,76
IC19,9.300,9.500,7,18,0,0,10,30
IC19,9.800,10.000,9,15,1,1,14,152
IC19,10.200,10.400,6,18,0,0,11,33
IC19,12.600,12.800,7,17,1,2,6,138
IC19,13.200,13.400,7,12,0,1,11,43
IC19,16.000,16.025,6,13,0,0,9,27
IC2,35.000,35.200,5,11,0,1,7,31
IC22,0.800,0.981,7,9,0,1,8,34
,,Total,316,612,12,28,419,
(1) Sentido crescente da quilometra gem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
