,,Acidentes c/,Mortos,Feridos,Feridos,Total de
,,vítimas,,graves,leves,vítimas
,Atropelamentos,215,12,40,188,240
REGIÃO,Colisão,792,55,131,1044,1230
ALENTEJO,Despiste,1057,64,231,1211,1506
,Total,2064,131,402,2443,2976
,Atropelamentos,76,9,10,65,84
Beja,Colisão,276,21,50,412,483
,Despiste,391,26,78,454,558
,Total,743,56,138,931,1125
,Atropelamentos,83,1,15,73,89
Évora,Colisão,339,27,47,406,480
,Despiste,396,18,85,452,555
,Total,818,46,147,931,1124
,Atropelamentos,56,2,15,50,67
Portalegre,Colisão,177,7,34,226,267
,Despiste,270,20,68,305,393
,Total,503,29,117,581,727
