,,Inspecções,,,
,,2002,2003,"03/02
%",
Janeiro,,356.189,409.119,"14,9",
,,356.189,,,
Fevereiro,,319.818,361.246,"13,0",
,,319.818,,,
Março,,370.745,419.654,"13,2",
,,370.745,,,
Abril,,379.765,398.475,"4,9",
,,379.765,,,
Maio,,393.354,424.224,"7,8",
,,393.354,,,
Junho,,355.512,382.788,"7,7",
,,355.512,,,
Julho,,427.098,466.017,"9,1",
,,427.098,,,
Agosto,,343.126,340.441,"-0,8",
,,343.126,,,
Setembro,,303.601,327.499,"7,9",
,,303.601,,,
Outubro,,359.853,379.222,"5,4",
,,359.853,,,
Novembro,,351.527,359.034,"2,1",
,,351.527,,,
Dezembro,,376.559,395.418,"5,0",
,,376.559,,,
,Total,4.337.147,4.663.137,"7,5",
