,,,"Não
infractores",Infractores,,,,Total de,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,testes,%
,,Acidentes,14604,52,65,138,255,14859,"1,7"
,"16-20
anos","Manobras
perigosas",1101,35,12,14,61,1162,"5,2"
,,Aleatórias,11388,355,333,197,885,12273,"7,2"
,,Acidentes,57120,313,443,1164,1920,59040,"3,3"
,"21-29
anos","Manobras
perigosas",7831,151,152,249,552,8383,"6,6"
,,Aleatórias,69758,2683,2812,2827,8322,78080,"10,7"
,,Acidentes,50403,336,506,1464,2306,52709,"4,4"
,"30-39
anos","Manobras
perigosas",7655,91,167,259,517,8172,"6,3"
,,Aleatórias,66974,2028,2138,3533,7699,74673,"10,3"
,,Acidentes,36975,245,330,1105,1680,38655,"4,3"
,"40-49
anos","Manobras
perigosas",5993,47,103,183,333,6326,"5,3"
,,Aleatórias,48114,1361,1497,2289,5147,53261,"9,7"
,,Acidentes,41372,252,286,741,1279,42651,"3,0"
>=50 anos,,"Manobras
perigosas",5248,51,82,113,246,5494,"4,5"
,,Aleatórias,40968,960,829,1165,2954,43922,"6,7"
,,Acidentes,200474,1198,1630,4612,7440,207914,"3,6"
Total (1),,"Manobras
perigosas",27828,375,516,818,1709,29537,"5,8"
,,Aleatórias,237202,7387,7609,10011,25007,262209,"9,5"
