TIPO DE INFRACÇÃO,,NÚMERO,
Infracções Muito Graves,,,
,Condução com excesso de álcool no sangue,12615,
,Excesso de velocidade,11916,
,Ultrapassagem proibida (pela direita / s/ verificar se outro veículo iniciou a ultrapassagem),1247,
,Infracção relativa à iluminação e utilização de luzes,808,
,Marcha atrás em auto-estrada,493,
,Paragem ou estacionamento proibido,356,
,Sub-total,27435,
Infracções Graves,,,
,,,
,Excesso de velocidade,111629,
,Desrespeito da obrigação de parar,25417,
,"Transpor linha longitudinal contínua (Marca MI) delimitadora dos sentidos de trânsito
Desrespeito dos sinais de proibição (sentido proibido e proibição de virar)","20871
16038",
,Condução com excesso de álcool no sangue,10717,
,Paragem (ou estacionamento) em berma de AE (ou no respectivo acesso devidamente,,
,sinalizado),4466,
,Sub-total,189138,
Infracções Leves,,,
,,,
,Paragem ou estacionamento proibido,357029,
,Não utilização do cinto de segurança pelo condutor ou passageiro,79846,
,Condução de veículos sem documentos legalmente exigidos,59282,
,Utilização de telemóvel durante a condução,42515,
,Não sujeição a inspecção periódica no prazo legal,42429,
,Sub-total,581101,
