,,,,,,,,,"Total de
vítimas",,,
,Acidentes c/,,Vítimas,,Feridos,,,,,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2003,,,,,,,,,2004,,
,,2004,2003,2004,2003,2004,2003,2004,2003,,2003,2004
,,,,,,,,,,,,
,,,,,,,,,,,,
00-03,2379,2067,133,108,386,319,3078,2600,3597,3027,"5,6","5,2"
03-06,1438,1284,100,84,284,226,1742,1553,2126,1863,"7,0","6,5"
,,,,,,,,,,,,
06-09,4322,4046,160,148,464,421,5311,4940,5935,5509,"3,7","3,7"
,,,,,,,,,,,,
09-12,5885,5628,144,112,523,463,6947,6817,7614,7392,"2,4","2,0"
12-15,7178,6746,191,146,669,552,8694,8330,9554,9028,"2,7","2,2"
,,,,,,,,,,,,
15-18,7963,7750,214,168,809,779,9827,9685,10850,10632,"2,7","2,2"
,,,,,,,,,,,,
18-21,8186,7643,272,235,937,933,9748,9169,10957,10337,"3,3","3,1"
21-24,4144,3766,142,134,587,497,5252,4725,5981,5356,"3,4","3,6"
,,,,,,,,,,,,
Total,41495,38930,1356,1135,4659,4190,50599,47819,56614,53144,"3,3","2,9"
,,,,,,,,,,,,
