,Atropelamento,,,,,,Total veículos,,Parque,V/1000
,,,Colisão,,Despiste,,,,,
,,,,,,,(V),,circulação*,V.Circ.
,,,,,,,,,,
,,2004,,,,,,,,
,2003,,2003,2004,2003,2004,2003,2004,2004,2004
,,,,,,,,,,
,,,,,,,,,,
Veíc. Ligeiros(1),5989,5236,37139,35259,9406,8522,52534,49017,4899243,"10,0"
Passageiros,4536,4142,28301,27267,7282,6740,40119,38149,-,-
Mercadorias,1086,992,7404,7290,1812,1600,10302,9882,-,-
Veíc. Pesados(2),284,289,2418,2271,390,362,3092,2922,150823,"19,4"
Passageiros,154,173,517,453,44,33,715,659,-,-
Mercadorias,105,104,1668,1602,295,272,2068,1978,-,-
Velocípedes,45,48,1205,1220,154,180,1404,1448,-,-
Ciclomotores,224,168,4073,3871,1645,1562,5942,5601,-,-
Motociclos,240,198,3182,2949,1236,1199,4658,4346,147033,"29,6"
Outros veículos,36,46,360,447,98,175,494,668,-,-
Total,6818,5985,48377,46017,12929,12000,68124,64002,-,-
,,,,,,,,,,
