,,,,,,
,Até 5 anos,,5 a 9 anos,,10 a 14 anos,
,,,,,,
,,,,,,
,2003,2004,2003,2004,2003,2004
Veíc. ligeiro,18925,15754,16407,16340,11699,11450
Veíc. pesado,1035,882,875,938,655,571
Ciclomotor,1589,1326,1468,1559,1500,1305
Motociclos,2311,1978,1376,1446,529,578
Sub-total,23860,19940,20126,20283,14383,13904
,,,,,,
,15 a 19 anos,,>=20 anos,,Total(1),
,,,,,,
,,,,,,
,2003,2004,2003,2004,2003,2004
Veíc. ligeiro,3569,3929,664,702,52534,49017
Veíc. pesado,314,335,140,139,3092,2922
Ciclomotor,600,854,397,335,5942,5601
Motociclos,99,123,70,67,4658,4346
Sub-total,4582,5241,1271,1243,66226,61886
,,,,,,
