,,,,,,,,,,M/1000
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,,População*,
,,,,,,,,,,hab.
,,,,,,,,,,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2004,2004
,,,,,,,,,,
,,,,,,,,,,
<=5,18,13,82,83,1362,1236,1462,1332,662762,"0,02"
6-9,8,16,111,83,1210,1170,1329,1269,422823,"0,04"
10-14,22,13,115,122,1628,1580,1765,1715,563411,"0,02"
15-19,68,70,444,401,4692,4235,5204,4706,615827,"0,11"
20-24,185,151,679,586,7244,6451,8108,7188,744779,"0,20"
25-29,160,136,580,462,6454,6013,7194,6611,834506,"0,16"
30-34,114,101,420,433,4940,4718,5474,5252,798882,"0,13"
35-39,106,96,368,335,3935,3740,4409,4171,777615,"0,12"
40-44,94,83,301,286,3628,3441,4023,3810,765055,"0,11"
45-49,100,70,265,244,3138,3044,3503,3358,709592,"0,10"
50-54,74,49,214,207,2689,2596,2977,2852,668372,"0,07"
55-59,55,64,200,171,2166,2144,2421,2379,612578,"0,10"
60-64,67,58,186,162,1941,1899,2194,2119,537087,"0,11"
65-69,71,66,174,168,1821,1757,2066,1991,535201,"0,12"
70-74,76,58,182,151,1542,1500,1800,1709,475276,"0,12"
>=75,117,76,290,236,1799,1866,2206,2178,750919,"0,10"
Não def.,21,15,48,60,410,429,479,504,-,-
Total,1356,1135,4659,4190,50599,47819,56614,53144,10474685,"0,11"
,,,,,,,,,,
