,,,,,,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,Feridos leves,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
Submetido,9,6,992,819,23715,22454,24716,23279,57102,53822
TAS não def.,3,0,110,65,351,272,464,337,539,438
"TAS<0,5",6,5,842,721,22429,21419,23277,22145,54499,51625
"0,5-0,79 g/l",0,0,3,3,98,94,101,97,334,290
"0,8-1,19 g/l",0,0,5,8,199,164,204,172,474,433
"TAS >= 1,2 g/l",0,1,32,22,638,505,670,528,1256,1036
Não submetido,765,667,1448,1547,4121,4623,6334,6837,7897,9026
Não definido,62,4,165,15,794,68,1021,87,2422,820
Total,836,677,2605,2381,28630,27145,32071,30203,67421,63668
