,,,,,Feridos leves,,Total condutores,,Total condutores,
,Vítimas mortais,,Feridos graves,,,,,,,
,,,,,,,vítimas,,intervenientes,
,,,,,,,,,,
,2003,2004,2003,2004,2003,2004,2003,2004,2003,2004
,,,,,,,,,,
< 1 ano,23,13,104,64,1254,1024,1381,1101,2515,2000
1 a 5 anos,229,155,783,682,9540,8026,10552,8863,20390,16872
6 a 10 anos,132,119,418,389,5438,5256,5988,5764,13211,12341
11 a 20 anos,121,119,397,420,4896,5259,5414,5798,13026,13939
>= 20 anos,161,149,374,390,4403,4871,4938,5410,12335,13416
Não definido,30,14,151,60,811,350,992,424,2772,1822
Total(1),696,569,2227,2005,26342,24786,29265,27360,64249,60390
