,,Acidentes c/,Mortos,"Feridos
graves",Feridos,Total de
,,vítimas,,,leves,vítimas
,Atropelamentos,1894,61,211,1807,2079
REGIÃO,Colisão,6464,151,509,8896,9556
NORTE,Despiste,2212,98,239,2737,3074
,Total,10570,310,959,13440,14709
,Atropelamentos,509,22,66,471,559
,Colisão,1816,35,136,2558,2729
Braga,Despiste,577,28,71,679,778
,Total,2902,85,273,3708,4066
,Atropelamentos,36,2,11,28,41
,Colisão,181,10,23,254,287
Bragança,Despiste,194,9,25,244,278
,Total,411,21,59,526,606
,Atropelamentos,1117,33,99,1090,1222
,Colisão,3558,73,277,4795,5145
Porto,Despiste,1005,40,105,1285,1430
,Total,5680,146,481,7170,7797
,Atropelamentos,117,2,12,117,131
,Colisão,533,18,25,770,813
V.Castelo,Despiste,210,12,18,244,274
,Total,860,32,55,1131,1218
,Atropelamentos,115,2,23,101,126
,Colisão,376,15,48,519,582
V.Real,Despiste,226,9,20,285,314
,Total,717,26,91,905,1022
