,,Acidentes c/,,"Feridos
graves",Feridos,Total de
,,,Mortos,,,
,,vítimas,,,leves,vítimas
,,,,,,
,Atropelamentos,189,5,32,164,201
REGIÃO,Colisão,692,30,141,984,1155
ALENTEJO,Despiste,895,36,156,1030,1222
,Total,1776,71,329,2178,2578
,Atropelamentos,54,3,10,46,59
Beja,Colisão,218,14,48,356,418
,Despiste,321,14,51,371,436
,Total,593,31,109,773,913
,Atropelamentos,86,0,13,80,93
Évora,Colisão,298,7,60,405,472
,Despiste,349,14,63,400,477
,Total,733,21,136,885,1042
,Atropelamentos,49,2,9,38,49
Portalegre,Colisão,176,9,33,223,265
,Despiste,225,8,42,259,309
,Total,450,19,84,520,623
