,,,2000,2001,2002,2003,2004
,,Norte,20811,23397,22804,20156,18293
,,Centro,17237,18257,17160,16516,14716
,A,Lisboa e V. Tejo,16938,18460,16399,14373,14522
,,Alentejo,2452,3070,2680,2390,1972
,,Algarve,2703,2575,2439,2259,2027
,,Total,60141,65759,61482,55694,51530
,,Norte,63532,59324,61876,51751,45953
,,Centro,39228,38283,37900,33566,29326
,B,Lisboa e V. Tejo,48226,47108,48297,42797,37457
,,Alentejo,6760,7055,6966,5750,4873
,,Algarve,6214,5674,5944,5319,4478
,,Total,163960,157444,160983,139183,122087
,,Norte,3388,3097,3282,2899,3102
,,Centro,3368,3391,3362,2801,2821
,C,Lisboa e V. Tejo,2269,2460,2553,2074,2119
,,Alentejo,658,520,553,452,465
,,Algarve,334,307,334,294,278
,,Total,10017,9775,10084,8520,8785
,,Norte,709,793,892,834,814
,,Centro,570,571,630,593,534
,D,Lisboa e V. Tejo,763,769,729,581,545
,,Alentejo,134,138,155,113,132
,,Algarve,112,95,82,77,75
,,Total,2288,2366,2488,2198,2100
,,Norte,4603,4902,5537,4859,5401
,,Centro,5414,5973,6040,4851,4934
,E,Lisboa e V. Tejo,3709,4153,4235,3918,4234
,,Alentejo,960,842,1033,763,881
,,Algarve,412,470,488,488,526
,,Total,15098,16340,17333,14879,15976
TOTAL GERAL,,,251504,251684,252370,220474,200478
