,,,2003,,2004,,
,,,Inspecções,Tx. Rep.,Inspecções,Tx. Rep.,
,,Braga,388591,"20,9",423912,"20,4",
REGIÃO,,Bragança,83691,"25,0",85385,"21,6",
NORTE,,Porto,782271,"18,9",839297,"20,2",
,,V. Castelo,119694,"17,5",118203,"20,4",
,,Vila Real,77511,"22,2",85944,"24,4",
,,,1451758,,1552741,,
,,Aveiro,369701,"24,1",392862,"21,5",
REGIÃO,,C. Branco,114093,"21,8",120685,"24,2",
CENTRO,,Coimbra,227439,"21,8",241670,"21,6",
,,Guarda,106549,"22,1",112892,"25,2",
,,Leiria,339150,"20,0",362111,"21,0",
,,Viseu,165427,"22,4",175164,"22,7",
,,,1322359,,1405384,,
REGIÃO DE,,Lisboa,872505,"23,4",932201,"20,7",
LISBOA,,Santarém,245552,"26,9",261036,"22,0",
E VALE TEJO,,Setúbal,320949,"24,6",340186,"23,2",
,,,1439006,,1533423,,
REGIÃO DO,,Beja,62057,"24,2",68572,"21,3",
ALENTEJO,,Évora,95333,"15,3",101466,"21,5",
,,Portalegre,55965,"21,5",60405,"24,2",
,,,213355,,230443,,
R. ALGARVE,,Faro,236659,"16,1",258968,"25,9",
TOTAL,,,4663137,,4980959,,
