,Mortos(1) por 1.000.000 hab.,,,,
,1999,2000,2001,2002,2003
Alemanha,95,91,85,83,80
Áustria,133,120,118,117,114
Bélgica,137,144,145,128,-
Chipre,150,147,129,129,128
Dinamarca,97,93,81,86,80
Eslováquia,120,116,114,113,-
Eslovénia,169,157,140,135,121
Espanha,145,145,138,132,133
Estónia,160,149,146,163,120
Finlândia,84,77,84,80,73
França,145,138,138,129,102
Grécia,201,193,178,151,147
Hungria,127,117,121,140,130
Irlanda,111,111,108,97,87
Itália,115,115,116,117,104
Letónia,248,247,219,221,210
Lituânia,202,173,203,201,204
Luxemburgo,135,174,159,140,119
Malta,11,39,41,41,41
P. Baixos,69,68,62,61,64
Polónia,174,163,143,151,146
Portugal,200,184,163,160,150
Reino Unido,60,60,60,60,62
República Checa,141,145,130,139,141
Suécia,66,67,66,63,59
