,,,,Geral,,,,,,Dentro localidades,,,,,,Peões,,,,,,Utentes veículos,,,,
,,,,,,,,,,,,,,,,,,,,,,duas rodas(1),,,,
,,,,Vítimas,,,Feridos,,,Vítimas,,,Feridos,,,Vítimas,,,Feridos,,,Vítimas,,,Feridos,
,,,,mortais,,,graves,,,mortais,,,graves,,,mortais,,,graves,,,mortais,,,graves,
1998,,,1865,1865,,8177,8177,,762,762,,5177,5177,,356,356,,1711,1711,,488,488,,2558,2558,
1999,,,1750,,,7697,,,759,,,4804,,,345,,,1537,,,444,,,2218,,
2000,,,1629,,,6918,,,634,,,4163,,,337,,,1365,,,383,,,1905,,
Média 98/00,,,1748,,,7597,,,718,,,4715,,,346,,,1538,,,438,,,2227,,
2001,,,1466,,,5797,,,632,,,3365,,,296,,,1098,,,362,,,1522,,
2002,,,1469,,,4770,,,613,,,2739,,,297,,,906,,,324,,,1141,,
2003,,,1356,,,4659,,,578,,,2734,,,246,,,902,,,325,,,1213,,
2004,,,1135,,,4190,,,488,,,2587,,,204,,,766,,,265,,,1092,,
2005,,,1094,,,3762,,,471,,,2280,,,188,,,714,,,258,,,985,,
,Valor pretendido,,874,,,3799,,,287,,,1886,,,138,,,615,,,175,,,891,,
,para 2010,,,,,,,,,,,,,,,,,,,,,,,,,
