,,,"Vítimas
mortais",,,,,,,,,
,Acidentes c/,,,,Feridos,,Feridos,,Total de,,Índice de,
,,,,,,,,,,,,
,vítimas,,,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,2004,,,,,,,,,
,2004,2005,,2005,2004,2005,2004,2005,2004,2005,2004,2005
,,,,,,,,,,,,
,,,,,,,,,,,,
Bom tempo,31692,30808,948,943,3487,3211,38409,37397,42844,41551,"3,0","3,1"
,,,,,,,,,,,,
Chuva,5944,5179,141,113,571,451,7879,6741,8591,7305,"2,4","2,2"
,,,,,,,,,,,,
Outros (1),515,349,33,23,61,41,611,451,705,515,"6,4","6,6"
,,,,,,,,,,,,
Total(2),38930,37066,1135,1094,4190,3762,47819,45487,53144,50343,"2,9","3,0"
