,Atropelamento,,,,,,Total veículos,,,
,,,Colisão,,Despiste,,,,Parque,V/1000
,,,,,,,(V),,,
,,,,,,,,,circulação*,VCi
,2004,2005,2004,2005,2004,2005,2004,2005,(VCi),em 2005
,,,,,,,,,,
Veíc. Ligeiros(1),5236,5127,35259,32962,8522,8210,49017,46299,5063509,"9,1"
Passageiros,4142,4060,27267,25683,6740,6468,38149,36211,-,-
Mercadorias,992,983,7290,6648,1600,1573,9882,9204,-,-
Veíc. Pesados(2),289,255,2271,2180,362,365,2922,2800,150435,"18,6"
Passageiros,173,165,453,480,33,43,659,688,-,-
Mercadorias,104,80,1602,1504,272,261,1978,1845,-,-
Velocípedes,48,54,1220,1261,180,198,1448,1513,-,-
Ciclomotores,168,178,3871,3346,1562,1426,5601,4950,-,-
Motociclos,198,187,2949,2830,1199,1174,4346,4191,152306,"27,5"
Outros veículos,33,37,347,330,126,134,506,501,-,-
Total(3),5985,5841,46017,42938,12000,11511,64002,60290,-,-
,,,,,,,,,,
