,,Total de vítimas,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,"Total
(1)"
,2004,1447,388,323,317,337,341,364,362,356,347,391,1754,6819
Peões,2005,1326,402,309,293,293,340,366,341,340,383,366,1656,6470
,05/04,-121,14,-14,-24,-44,-1,2,-21,-16,36,-25,-98,-349
Veículo,2004,2333,2610,5302,4599,3512,2696,2477,2129,1825,1491,1188,2611,33043
Ligeiro*,2005,2060,2482,4896,4277,3391,2680,2384,1986,1800,1470,1146,2548,31342
,05/04,-273,-128,-406,-322,-121,-16,-93,-143,-25,-21,-42,-63,-1701
Veículo,2004,48,39,67,114,128,103,99,96,103,80,58,116,1071
Pesado*,2005,61,52,85,112,125,124,115,120,117,84,64,89,1166
,05/04,13,13,18,-2,-3,21,16,24,14,4,6,-27,95
,2004,326,198,81,83,64,81,88,81,70,63,46,214,1427
Velocípede**,2005,284,197,84,80,79,114,85,69,96,55,57,241,1470
,05/04,-42,-1,3,-3,15,33,-3,-12,26,-8,11,27,43
,2004,100,735,504,530,560,537,496,455,362,290,335,948,5888
Ciclomotor*,2005,95,612,454,429,451,449,472,384,336,270,274,878,5137
,05/04,-5,-123,-50,-101,-109,-88,-24,-71,-26,-20,-61,-70,-751
,2004,46,726,897,953,634,389,275,219,112,72,65,105,4541
Motociclo*,2005,50,686,847,930,643,421,268,205,110,84,45,101,4414
,05/04,4,-40,-50,-23,9,32,-7,-14,-2,12,-20,-4,-127
,2004,4316,4706,7188,6611,5252,4171,3810,3358,2852,2379,2119,5878,53144
Total (2),2005,3883,4441,6693,6129,4994,4137,3712,3128,2820,2364,1984,5675,50343
,05/04,-433,-265,-495,-482,-258,-34,-98,-230,-32,-15,-135,-203,-2801
