,,,,,,
,Feminino,,Masculino,,Total(1),
,,,,,,
,2004,2005,2004,2005,2004,2005
Vítimas mortais,105,90,149,141,254,232
,,,,,,
<=14,9,1,9,12,18,13
15-19,9,15,15,27,24,42
20-24,14,14,35,26,49,40
25-29,7,8,17,12,24,20
30-34,5,6,10,8,15,14
35-39,3,5,11,10,14,16
40-44,5,6,11,10,16,16
45-49,9,4,10,5,19,9
50-54,5,4,6,6,11,10
55-59,7,7,7,8,14,15
60-64,3,3,4,3,7,6
65-69,6,7,2,0,8,7
70-74,9,4,3,5,12,9
>=75,14,6,5,5,19,11
Não def.,0,0,4,4,4,4
Feridos graves,472,388,571,517,1043,905
,,,,,,
<=14,57,37,62,54,119,91
15-19,60,49,105,93,165,142
20-24,40,58,121,110,161,168
25-29,41,41,63,62,104,103
30-34,34,34,62,40,96,74
35-39,29,22,36,34,65,56
40-44,32,14,28,28,60,42
45-49,29,18,20,17,49,35
50-54,29,23,16,26,45,49
55-59,30,19,6,8,36,27
60-64,22,17,8,8,30,25
65-69,21,12,12,12,33,24
70-74,10,18,14,4,24,22
>=75,28,21,8,14,36,35
Não def.,10,5,10,7,20,12
