,,,,,
,Acidentes c/,,,,Total de
,,Mortos,Feridos graves,Feridos leves,
,vítimas,,,,vítimas
,,,,,
,,,,,
REGIÃO NORTE,10105,274,881,12982,14137
Dentro Localidade,7965,174,674,10053,10901
Fora Localidade,2140,100,207,2929,3236
Braga,2772,77,252,3682,4011
Dentro Localidade,2287,58,212,3014,3284
Fora Localidade,485,19,40,668,727
Bragança,447,28,88,538,654
Dentro Localidade,189,8,32,216,256
Fora Localidade,258,20,56,322,398
Porto,5378,111,400,6727,7238
Dentro Localidade,4542,85,338,5605,6028
Fora Localidade,836,26,62,1122,1210
V. Castelo,832,29,56,1153,1238
Dentro Localidade,533,12,33,734,779
Fora Localidade,299,17,23,419,459
V. Real,676,29,85,882,996
Dentro Localidade,414,11,59,484,554
Fora Localidade,262,18,26,398,442
