,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,1816,60,186,1763,2009
REGIÃO,Colisão,5967,116,451,8325,8892
NORTE,Despiste,2322,98,244,2894,3236
,Total,10105,274,881,12982,14137
,Atropelamentos,441,19,60,410,489
,Colisão,1727,34,131,2539,2704
Braga,Despiste,604,24,61,733,818
,Total,2772,77,252,3682,4011
,Atropelamentos,51,6,12,41,59
,Colisão,178,8,34,248,290
Bragança,Despiste,218,14,42,249,305
,Total,447,28,88,538,654
,Atropelamentos,1110,27,93,1100,1220
,Colisão,3236,45,207,4370,4622
Porto,Despiste,1032,39,100,1257,1396
,Total,5378,111,400,6727,7238
,Atropelamentos,124,2,4,137,143
,Colisão,497,15,37,688,740
V.Castelo,Despiste,211,12,15,328,355
,Total,832,29,56,1153,1238
,Atropelamentos,90,6,17,75,98
,Colisão,329,14,42,480,536
V.Real,Despiste,257,9,26,327,362
,Total,676,29,85,882,996
