Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
A3 (1),"37,000","37,200",5,7,0,0,9,27
EN103,"37,000","37,200",6,11,0,0,12,36
EN14,"20,400","20,600",6,17,0,0,9,27
,,,17,35,0,0,30,90
,,,,,,,,
Distrito do Porto,,,,,,,,
,,,,,,,,
A3 (2),"16,120","16,300",10,14,0,2,14,62
A4 (2),"16,750","16,900",6,11,3,2,8,344
EN106,"31,200","31,400",5,10,0,1,7,31
EN107,"6,900","7,000",6,12,1,1,4,122
EN13,"0,950","1,100",5,10,0,0,9,27
EN205,"4,300","4,400",6,12,0,0,8,24
EN207,"40,100","40,300",5,9,0,1,4,22
IC1,"314,000","314,000",11,26,0,1,15,55
IC23,"3,000","3,000",7,18,0,0,10,30
IP1,"299,800","300,000",9,11,0,0,11,33
,,,70,133,4,8,90,750
(1) Sentido cre scente d a quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
