,,,,,
,Acidentes,,Feridos,,Total de
,,Mortos,,Feridos leves,
,com vítimas,,graves,,vítimas
,,,,,
,,,,,
,,,,,
REGIÃO CENTRO,10728,308,951,13193,14452
,,,,,
Dentro Localidade,7362,132,549,8660,9341
,,,,,
Fora Localidade,3366,176,402,4533,5111
Aveiro,3138,67,270,3826,4163
,,,,,
Dentro Localidade,2402,38,188,2829,3055
,,,,,
Fora Localidade,736,29,82,997,1108
C. Branco,689,29,115,795,939
,,,,,
Dentro Localidade,322,4,42,347,393
,,,,,
Fora Localidade,367,25,73,448,546
Coimbra,2204,72,113,2766,2951
,,,,,
Dentro Localidade,1586,37,61,1909,2007
,,,,,
Fora Localidade,618,35,52,857,944
Guarda,535,19,67,645,731
,,,,,
Dentro Localidade,258,4,32,274,310
,,,,,
Fora Localidade,277,15,35,371,421
Leiria,2642,71,230,3258,3559
,,,,,
Dentro Localidade,1888,34,154,2233,2421
,,,,,
Fora Localidade,754,37,76,1025,1138
Viseu,1520,50,156,1903,2109
,,,,,
Dentro Localidade,906,15,72,1068,1155
,,,,,
Fora Localidade,614,35,84,835,954
