,,,Fev,,,,,,,Set,,Nov,,
,,Jan,,Mar,Abr,Mai,Jun,Jul,Ago,,Out,,Dez,Total
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Acidentes com vítimas,961,927,977,925,956,973,1164,970,1053,1194,995,1104,12199
REGIÃO DE,Acid.c/ mortos e f.graves,103,113,86,106,105,120,139,128,109,127,123,122,1381
LISBOA E,Acid.com mortos,30,31,20,21,20,24,24,27,22,21,19,37,296
VALE TEJO,Mortos,34,42,21,24,21,27,26,30,24,21,20,38,328
,F.Graves,93,106,79,106,91,117,141,125,107,141,127,118,1351
,F.Leves,1156,1105,1210,1083,1129,1121,1418,1184,1295,1441,1174,1341,14657
,Acidentes com vítimas,583,564,597,554,576,599,664,551,637,730,621,627,7303
,Acid.c/ mortos e f.graves,58,64,46,64,57,61,77,69,53,78,71,64,762
Lisboa,Acid.com mortos,14,14,7,10,10,8,13,11,6,12,7,11,123
,Mortos,17,19,7,11,11,9,14,11,6,12,7,12,136
,F.Graves,53,66,43,67,49,58,78,73,51,84,75,69,766
,F.Leves,697,676,715,625,668,683,777,663,777,844,714,758,8597
,Acidentes com vítimas,168,162,177,161,179,185,213,192,191,217,198,214,2257
,Acid.c/ mortos e f.graves,25,30,25,17,28,35,24,34,26,29,31,30,334
Santarém,Acid.com mortos,7,10,6,1,5,8,3,11,9,4,5,14,83
,Mortos,8,11,7,1,5,9,3,13,10,4,6,14,91
,F.Graves,20,25,23,19,24,39,25,26,21,35,32,24,313
,F.Leves,204,177,230,185,217,212,285,223,228,269,244,239,2713
,Acidentes com vítimas,210,201,203,210,201,189,287,227,225,247,176,263,2639
,Acid.c/ mortos e f.graves,20,19,15,25,20,24,38,25,30,20,21,28,285
Setúbal,Acid.com mortos,9,7,7,10,5,8,8,5,7,5,7,12,90
,Mortos,9,12,7,12,5,9,9,6,8,5,7,12,101
,F.Graves,20,15,13,20,18,20,38,26,35,22,20,25,272
,F.Leves,255,252,265,273,244,226,356,298,290,328,216,344,3347
