,,,,,
,Acidentes,,Feridos,Feridos,
,,Mortos,,,Total de vítimas
,com vítimas,,graves,leves,
,,,,,
,,,,,
,,,,,
REGIÃO LISBOA E VALE TEJO,12199,328,1351,14657,16336
,,,,,
Dentro Localidade,8697,149,894,9978,11021
Fora Localidade,3502,179,457,4679,5315
Lisboa,7303,136,766,8597,9499
,,,,,
Dentro Localidade,5734,79,604,6490,7173
Fora Localidade,1569,57,162,2107,2326
Santarém,2257,91,313,2713,3117
Dentro Localidade,1317,40,162,1481,1683
Fora Localidade,940,51,151,1232,1434
Setúbal,2639,101,272,3347,3720
Dentro Localidade,1646,30,128,2007,2165
Fora Localidade,993,71,144,1340,1555
