,,,,,,,,,,,,,,
,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,122,103,115,111,137,152,164,154,150,164,139,137,1648
,Acid.c/ mortos e f.graves,27,20,23,15,29,22,38,33,25,38,25,23,318
REGIÃO,Acid.com mortos,9,5,8,0,10,7,11,9,7,15,5,5,91
ALENTEJO,Mortos,11,5,13,0,11,7,11,9,12,20,6,5,110
,F.Graves,19,18,20,16,25,17,31,33,19,31,23,24,276
,F.Leves,143,110,143,143,162,185,196,203,164,187,162,164,1962
,Acidentes com vítimas,56,36,40,43,50,59,63,57,58,50,56,43,611
,Acid.c/ mortos e f.graves,8,5,6,5,9,6,11,13,9,13,13,8,106
Beja,Acid.com mortos,3,2,1,0,4,1,4,3,4,5,3,1,31
,Mortos,3,2,1,0,5,1,4,3,9,5,4,1,38
,F.Graves,5,3,5,5,7,6,8,15,5,9,13,8,89
,F.Leves,65,41,50,67,58,82,80,75,66,59,62,46,751
,Acidentes com vítimas,44,52,44,49,51,52,68,61,60,79,58,59,677
,Acid.c/ mortos e f.graves,12,11,10,7,9,8,16,10,8,17,9,10,127
Évora,Acid.com mortos,5,2,3,0,1,5,4,3,2,7,2,1,35
,Mortos,7,2,6,0,1,5,4,3,2,11,2,1,44
,F.Graves,7,12,11,8,10,4,13,10,7,15,7,12,116
,F.Leves,48,56,53,55,64,52,84,83,70,90,68,73,796
,Acidentes com vítimas,22,15,31,19,36,41,33,36,32,35,25,35,360
,Acid.c/ mortos e f.graves,7,4,7,3,11,8,11,10,8,8,3,5,85
Portalegre,Acid.com mortos,1,1,4,0,5,1,3,3,1,3,0,3,25
,Mortos,1,1,6,0,5,1,3,3,1,4,0,3,28
,F.Graves,7,3,4,3,8,7,10,8,7,7,3,4,71
,F.Leves,30,13,40,21,40,51,32,45,28,38,32,45,415
