,,,,,
,Acidentes com,Mortos,Feridos graves,Feridos leves,Total de vítimas
,vítimas,,,,
,,,,,
,,,,,
,,,,,
REGIÃO ALENTEJO,1648,110,276,1962,2348
,,,,,
Dentro Localidade,519,5,70,547,622
Fora Localidade,1129,105,206,1415,1726
Beja,611,38,89,751,878
Dentro Localidade,131,0,9,141,150
Fora Localidade,480,38,80,610,728
Évora,677,44,116,796,956
Dentro Localidade,259,3,34,272,309
Fora Localidade,418,41,82,524,647
Portalegre,360,28,71,415,514
Dentro Localidade,129,2,27,134,163
Fora Localidade,231,26,44,281,351
