,,Extensão,milhões veículos x km,
,,,2004,2005
A1,,"295,2","4.565,0","4.098,5"
,A2,"234,2","1.731,0","1.644,5"
A3,,"106,5","1.006,0","970,7"
A4,,"51,3","678,0","652,7"
,A5,"25,0","1.044,0","1.138,7"
A6,,"157,9","329,0","296,1"
A7,,"20,8","112,4","201,5"
,A8,"129,8","1.004,9","1.002,4"
A9,,"34,4","350,0","342,2"
A10,,"6,9","8,0","10,2"
,A11,"12,8","33,8","61,8"
A12,,"24,2","219,0","200,5"
A13,,"29,5","23,0","114,3"
,A14,"39,9","191,0","67,2"
A15,,"40,2","72,8","76,4"
,,"1.208,6","11.367,9","10.877,6"
