NORTE,,,CENTRO,,"LISBOA E VALE
DO TEJO",,,ALENTEJO,,ALGARVE,
Distritos,,"Nº de
Centros",Distritos,"Nº de
Centros",Distritos,,"Nº de
Centros",Distritos,"Nº de
Centros",Distritos,"Nº de
Centros"
,Braga,14,Aveiro,13,Lisboa,,24,Beja,2,Faro,10
,Bragança,4,C.Branco,4,Santarém,,12,Évora,4,,
,Porto,25,Coimbra,11,Setúbal,,10,Portalegre,3,,
,V.Castelo,6,Guarda,4,,,,,,,
,V.Real,3,Leiria,15,,,,,,,
,,,Viseu,5,,,,,,,
,Sub-total,52,Sub-total,52,Sub-total,,46,Sub-total,9,Sub-total,10
TOTAL GERAL: 169,,,,,,,,,,,
