,,2001,,2002,,2003,,2004,,2005,
,,PSP,GNR,PSP,GNR,PSP,GNR,PSP,GNR,PSP,GNR
,De 0.00 a,116585,853384,102643,774623,78469,387094,69953,373000,75081,373353
,0.49 g/l,,,,,,,,,,
,De 0.50 a,1039,5592,1016,6756,977,7983,856,7236,867,6837
,0.79 g/l,,,,,,,,,,
,De 0.80 a,1319,6223,1359,7259,1253,8502,979,7769,1142,7652
1.19 g/l,,,,,,,,,,,
,Igual ou,,,,,,,,,,
,maior,3118,8945,2571,10244,2236,13205,1867,12555,1897,12458
1.20 g/l,,,,,,,,,,,
,Total de,5.476,20.760,4.946,24.259,4.466,29.690,3.702,27.560,3.906,26.947
Infractores,,26236,,29205,,34156,,31262,,30853,
,Total de,122.061,874.144,107.589,798.882,82.935,416.784,73.655,400.560,78.987,400.300
,testes,996205,,906471,,499719,,474215,,479287,
