,,,"Não
infractores",Infractores,,,,"Total de
testes",,
,,,,,,,,,,Inf./Test.
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1,19",">=1,20 g/l",Total,,,%
,,,,,g/l,,,,,
,,Braga,29806,740,559,910,2209,32015,,"6,9"
REGIÃO,,Bragança,14091,224,264,312,800,14891,,"5,4"
NORTE,,Porto,44315,484,434,935,1853,46168,,"4,0"
,,V. Castelo,13920,477,322,464,1263,15183,,"8,3"
,,Vila Real,13435,508,452,831,1791,15226,,"11,8"
,,,115567,2433,2031,3452,7916,123483,,"6,4"
,,Aveiro,40334,345,447,1185,1977,42311,,"4,7"
,,C. Branco,13102,273,443,612,1328,14430,,"9,2"
REGIÃO,,Coimbra,25519,215,232,651,1098,26617,,"4,1"
CENTRO,,Guarda,8993,120,177,287,584,9577,,"6,1"
,,Leiria,24928,327,482,624,1433,26361,,"5,4"
,,Viseu,26198,564,585,868,2017,28215,,"7,1"
,,,139074,1844,2366,4227,8437,147511,,"5,7"
,REGIÃO DE,Lisboa,75825,1342,1503,2133,4978,80803,,"6,2"
,LISBOA E,Santarém,13959,164,332,625,1121,15080,,"7,4"
,VALE TEJO,Setúbal,37939,694,820,1066,2580,40519,,"6,4"
,,,127723,2200,2655,3824,8679,136402,,"6,4"
,,Beja,14600,216,247,433,896,15496,,"5,8"
REGIÃO DO,,Évora,14547,277,294,565,1136,15683,,"7,2"
ALENTEJO,,Portalegre,14286,189,297,552,1038,15324,,"6,8"
,,,43433,682,838,1550,3070,46503,,"6,6"
,"REGIÃO
ALGARVE",Faro,22637,545,,1302,2751,25388,,
,,,,,904,,,,,"10,8"
,,,,,,,,,,
,TOTAL,,448434,7704,8794,14355,30853,479287,,"6,4"
