,,,"Não
infractores",,,,,"Total de
testes",
,,,,Infractores,,,,,
,,,,,,,,,Inf./Test.
,,,,,,,,,
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20 g/l",Total,,%
,,,,,,,,,
,,Duas rodas,1727,73,54,283,410,2137,"19,2"
,00-04,Ligeiros,59437,2812,3055,4728,10595,70032,"15,1"
,,Pesados,1978,31,17,8,56,2034,"2,8"
,,Sub-total(1),63345,2919,3132,5036,11087,74432,"14,9"
,,Duas rodas,904,12,17,60,89,993,"9,0"
,04-08,Ligeiros,30726,1688,2103,3060,6851,37577,"18,2"
,,Pesados,1414,1,4,13,18,1432,"1,3"
,,Sub-total(1),33190,1710,2129,3143,6982,40172,"17,4"
,,Duas rodas,2132,9,13,71,93,2225,"4,2"
,08-12,Ligeiros,75683,143,262,596,1001,76684,"1,3"
,,Pesados,8371,2,13,2,17,8388,"0,2"
,,Sub-total(1),86800,155,289,676,1120,87920,"1,3"
,,Duas rodas,2686,30,44,97,171,2857,"6,0"
,12-16,Ligeiros,78646,534,387,549,1470,80116,"1,8"
,,Pesados,8224,58,9,182,249,8473,"2,9"
,,Sub-total(1),90156,626,444,845,1915,92071,"2,1"
,,Duas rodas,3521,46,90,311,447,3968,"11,3"
,16-20,Ligeiros,90562,940,886,1644,3470,94032,"3,7"
,,Pesados,9524,38,29,26,93,9617,"1,0"
,,Sub-total(1),104263,1038,1024,2016,4078,108341,"3,8"
,,Duas rodas,14229,41,47,314,402,14631,"2,7"
,20-24,Ligeiros,50914,1144,1368,2238,4750,55664,"8,5"
,,Pesados,4227,61,272,13,346,4573,"7,6"
,,Sub-total(1),70170,1249,1761,2625,5635,75805,"7,4"
,,Duas rodas,25210,212,265,1137,1614,26824,"6,0"
,Total(2),Ligeiros,386461,7267,8076,12828,28171,414632,"6,8"
,,Pesados,33742,191,344,244,779,34521,"2,3"
,,Sub-total(1),448434,7704,8794,14355,30853,479287,"6,4"
