,,,"Não
infractore
s",Infractores,,,,,"Total
de","Inf./Test.
%","Inf.
(>=1,20)
/Test.
%"
,,,"0.00-0.49
g/l","0.50-0.79
g/l","0.80-1.19
g/l",">=1,20
g/l",,Total,testes,,
,,Acidentes,13737,42,71,180,,293,14030,"2,1","1,3"
,15-20,M. perigosas,1018,32,10,10,,52,1070,"4,9","0,9"
,,Aleatórias,12513,337,291,254,,882,13395,"6,6","1,9"
,,Acidentes,47087,274,395,1051,,1720,48807,"3,5","2,2"
,21-29,M. perigosas,6994,134,119,164,,417,7411,"5,6","2,2"
,,Aleatórias,69795,2159,2319,2575,,7053,76848,"9,2","3,4"
,,Acidentes,44122,285,384,1282,,1951,46073,"4,2","2,8"
,30-39,M. perigosas,6824,55,104,176,,335,7159,"4,7","2,5"
,,Aleatórias,65145,1784,1929,3224,,6937,72082,"9,6","4,5"
,,Acidentes,33379,222,307,997,,1526,34905,"4,4","2,9"
,40-49,M. perigosas,5503,37,68,95,,200,5703,"3,5","1,7"
,,Aleatórias,47048,1183,1341,2156,,4680,51728,"9,0","4,2"
,,Acidentes,49038,191,351,750,,1292,50330,"2,6","1,5"
,>=50,M. perigosas,7158,56,346,229,,631,7789,"8,1","2,9"
,,Aleatórias,39021,895,779,1212,,2886,41907,"6,9","2,9"
,,Acidentes,187363,1014,1508,4260,,6782,194145,"3,5","2,2"
,Total(1),M. perigosas,27497,314,647,674,,1635,29132,"5,6","2,3"
,,Aleatórias,233522,6358,6659,9421,,22438,255960,"8,8","3,7"
