CLASSIFICAÇÃO,,
Muito Graves,,NÚMERO
,"Condução sob influência do álcool com TAS = 0,8g/l e < 1,2g/l",13896
,Transposição de linha longitudinal contínua 1,7200
,Desrespeito de paragem à luz vermelha do semáforo 1,5081
,Excesso de velocidade – a),3606
,Excesso de velocidade – b) 2,2593
,Excesso de velocidade – c),2026
,"Desrespeito pelo sinal de paragem obrigatória nos cruzamentos, entroncamentos e rotundas 1",1999
,Desrespeito pelo sinal de paragem do agente fiscalizador ou regulador do trânsito 1,1846
,Excesso de velocidade – d),1224
,Desrespeito da regra geral de ultrapassagem em auto-estrada,879
,Graves,
,Excesso de velocidade – e) 2,37163
,Excesso de velocidade – f) 2,26434
,"Utilização, no exercício da condução, de auscultadores sonoros e de aparelhos radiotelefónicos não
permitidos por lei 1",16378
,Excesso de velocidade – g) 1,14956
,Excesso de velocidade – h) 1,14040
,Desrespeito de paragem à luz vermelha do semáforo 2,12825
,"Condução sob influência do álcool com TAS = 0,5g/l e < 0,8 g/l",11703
,Transposição de linha longitudinal contínua 2,11599
,"Circulação de automóvel ou motociclo, com ou sem reboque, não possuidor de seguro automóvel 1",9187
,"Desrespeito pelo sinal de paragem obrigatória nos cruzamentos, entroncamentos e rotundas 2",4065
,Desrespeito pelo sinal de paragem do agente fiscalizador ou regulador do trânsito 2,2758
,Paragem e estacionamento nas passagens assinaladas para travessia de peões 2,2622
,Leves,
,"Paragem ou estacionamento em pistas de velocípedes, ilhéus direccionais, placas centrais de rotundas,
passeios e demais locais destinados ao trânsito de peões",119419
,Estacionamento em parque ou zona para além do tempo ou sem pagamento de taxa,103625
,"Condução de automóvel sem ou má utilização do cinto de segurança e demais acessórios de segurança,
pelo condutor ou passageiros",60104
,"Condução de veículo a motor, sem que o condutor seja portador de documento legal de identificação
pessoal, títulos de condução e de registo de propriedade do veículo, certificado de seguro, documento de
identificação e ficha de inspecção periódica do veículo",48194
,Paragem e estacionamento proibidos por sinalização,43906
,"Estacionamento em via com um só sentido, impedindo a formação de uma fila de trânsito, ou em via com
dois sentidos, impedindo a formação de duas ou mais filas",42192
,"Não sujeição do veículo a inspecção periódica, dentro do prazo",42102
,Estacionamento proibido por sinalização,29674
,"Utilização, no exercício da condução, de auscultadores sonoros e de aparelhos radiotelefónicos não
permitidos por lei 2",23192
,"Circulação de automóvel ou motociclo, com ou sem reboque, não possuidor de seguro automóvel 2",17192
