,Mortos(1) por 1 000 000 habitantes,,,,
,2000,2001,2002,2003,2004
Alemanha,91,85,83,80,71
Áustria,120,118,117,114,108
Bélgica,144,145,131,,
Chipre,147,129,129,128,154
Dinamarca,93,81,86,80,69
Eslováquia,116,114,116,120,113
Eslovénia,157,140,135,121,137
Espanha,143,135,129,128,113
Estónia,149,146,163,120,124
Finlândia,77,84,80,73,72
França,138,138,129,102,93
Grécia,193,178,151,147,153
Hungria,117,121,140,130,127
Irlanda,111,108,97,87,98
Itália,115,116,117,104,97
Letónia,247,219,221,210,220
Lituânia,173,203,201,204,216
Luxemburgo,174,159,140,119,110
Malta,39,41,41,41,33
P. Baixos,68,62,61,64,50
Polónia,163,143,151,146,148
Portugal,184,163,160,150,125
Reino Unido,60,60,60,62,56
República Checa,145,130,139,141,135
Suécia,67,66,63,59,54
