,,,,,,,Feridos leves,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"2ªFeira
3ªFeira
4ªFeira
5ªFeira
6ªFeira
Sábado
Domingo","5367
5053
5081
5010
5816
5542
5197","5152
4802
5087
5070
5512
5297
4760","152
135
144
128
155
204
176","113
98
94
112
128
150
155","546
436
482
486
523
638
651","421
439
435
474
522
564
628","6455
6009
6003
5862
6913
7096
7149","6100
5749
6102
5891
6597
6777
6438","7153
6580
6629
6476
7591
7938
7976","6634
6286
6631
6477
7247
7491
7221","2,8
2,7
2,8
2,6
2,7
3,7
3,4","2,2
2,0
1,8
2,2
2,3
2,8
3,3"
Total,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
