,,,,,,,Total veículos,,,
,Atropelamento,,Colisão,,Despiste,,,,Veículos,V/1000
,,,,,,,(V),,,
,,,,,,,,,circulação*,Vci
,2005,2006,2005,2006,2005,2006,2005,2006,(Vci),em 2006
,,,,,,,,,,
"Veíc. Ligeiros(1)
Passageiros
Mercadorias
Veíc. Pesados(2)
Passageiros
Mercadorias
Velocípedes
Ciclomotores
Motociclos
Outros veículos","5127
4060
983
255
165
80
54
178
187
37","4981
4019
887
223
116
92
57
149
155
31","32962
25683
6648
2180
480
1504
1261
3346
2830
330","31419
24585
6280
1975
448
1343
1339
2914
2534
268","8210
6468
1573
365
43
261
198
1426
1174
134","8227
6453
1611
331
38
242
201
1394
1164
135","46299
36211
9204
2800
688
1845
1513
4950
4191
501","44627
35057
8778
2529
602
1677
1597
4457
3853
434","5179318
-
-
148086
-
-
-
-
153121
-","8,6
-
-
17,1
-
-
-
-
25,2
-"
Total(3),,,,,,,,,-,-
,5841,5597,42938,40468,11511,11452,60290,57517,,
,,,,,,,,,,
