,,,,Vítimas mortais,,,,,,,,,,,,,,,,
,,,,<=14,15-19,,20-24,25-29,,30-34,35-39,,40-44,45-49,50-54,55-59,60-64,>=65,,Total
,,,,,,,,,,,,,,,,,,,,(1)
Peões,,"2005
2006
06/05",,"9
7
-2","1
3
2",,"7
0
-7","4
4
0",,"10
1
-9","9
7
-2",,"13
10
-3","12
8
-4","15
8
-7","16
13
-3","12
17
5","76
57
-19","188
137
-51",
"Veículo
Ligeiro*",,"2005
2006
06/05",,"13
8
-5","59
23
-36",,"85
45
-40","56
64
8",,"51
37
-14","46
32
-14",,"39
33
-6","31
21
-10","41
27
-14","38
20
-18","19
29
10","62
69
7","544
418
-126",
"Veículo
Pesado*",,"2005
2006
06/05",,"0
0
0","1
0
-1",,"0
0
0","0
3
3",,"3
3
0","5
2
-3",,"5
4
-1","2
2
0","4
1
-3","5
1
-4","1
1
0","3
0
-3","29
17
-12",
Velocípede**,,"2005
2006
06/05",,"5
2
-3","3
2
-1",,"1
1
0","2
0
-2",,"2
1
-1","2
3
1",,"2
1
-1","2
2
0","3
3
0","1
3
2","3
2
-1","14
15
1","42
35
-7",
Ciclomotor*,,"2005
2006
06/05",,"0
2
2","4
6
2",,"7
7
0","6
6
0",,"7
8
1","10
7
-3",,"8
4
-4","8
7
-1","6
7
1","3
6
3","9
3
-6","25
22
-3","93
85
-8",
Motociclo*,,"2005
2006
06/05",,"0
0
0","16
9
-7",,"39
23
-16","34
32
-2",,"30
17
-13","20
16
-4",,"15
5
-10","4
7
3","4
4
0","1
5
4","1
0
-1","0
1
1","165
120
-45",
,,,2005,27,85,,140,105,,103,92,,85,62,76,66,47,195,1094,
,Total (2),,2006,19,,43,76,,111,67,,69,59,48,54,49,53,189,,850
,,,06/05,-8,-42,,-64,6,,-36,-23,,-26,-14,-22,-17,6,-6,-244,
