,,Total de vítimas,,,,,,,,,,,,,,,,
,,<=14,15-19,,20-24,25-29,,30-34,35-39,40-44,45-49,50-54,55-59,,60-64,>=65,,Total
,,,,,,,,,,,,,,,,,,(1)
Peões,"2005
2006
06/05","1326
1262
-64","402
412
10",,"309
282
-27","293
283
-10",,"293
285
-8","340
296
-44","366
369
3","341
347
6","340
371
31","383
329
-54",,"366
387
21","1656
1687
31","6470
6366
-104",
"Veículo
Ligeiro*","2005
2006
06/05","2060
2027
-33","2482
2242
-240",,"4896
4431
-465","4277
3846
-431",,"3391
3332
-59","2680
2556
-124","2384
2354
-30","1986
2150
164","1800
1770
-30","1470
1374
-96",,"1146
1176
30","2548
2625
77","31342
30127
-1215",
"Veículo
Pesado*","2005
2006
06/05","61
39
-22","52
44
-8",,"85
62
-23","112
91
-21",,"125
116
-9","124
106
-18","115
104
-11","120
100
-20","117
86
-31","84
77
-7",,"64
62
-2","89
92
3","1166
992
-174",
Velocípede**,"2005
2006
06/05","284
263
-21","197
179
-18",,"84
88
4","80
83
3",,"79
94
15","114
104
-10","85
103
18","69
103
34","96
81
-15","55
87
32",,"57
62
5","241
271
30","1470
1548
78",
Ciclomotor*,"2005
2006
06/05","95
77
-18","612
580
-32",,"454
332
-122","429
346
-83",,"451
422
-29","449
386
-63","472
397
-75","384
369
-15","336
298
-38","270
261
-9",,"274
233
-41","878
895
17","5137
4631
-506",
Motociclo*,"2005
2006
06/05","50
20
-30","686
565
-121",,"847
709
-138","930
849
-81",,"643
667
24","421
390
-31","268
253
-15","205
204
-1","110
123
13","84
80
-4",,"45
44
-1","101
85
-16","4414
4017
-397",
,2005,3883,,4441,6693,,6129,4994,4137,3712,3128,2820,,2364,1984,5675,,50343
Total (2),2006,3703,,4032,5913,,5515,4932,3853,3603,3289,2743,,2234,1989,5772,,47987
,06/05,-180,,-409,-780,,-614,-62,-284,-109,161,-77,,-130,5,97,,-2356
