,,,,,
,Acidentes c/,,,,Total de
,,Mortos,Feridos graves,Feridos leves,
,vítimas,,,,vítimas
,,,,,
,,,,,
"REGIÃO NORTE
Dentro Localidade
Fora Localidade","9724
7750
1974","219
133
86","830
619
211","12393
9659
2734","13442
10411
3031"
"Braga
Dentro Localidade
Fora Localidade","2734
2317
417","60
48
12","237
201
36","3561
2973
588","3858
3222
636"
"Bragança
Dentro Localidade
Fora Localidade","388
170
218","23
4
19","71
24
47","486
204
282","580
232
348"
"Porto
Dentro Localidade
Fora Localidade","5198
4355
843","96
64
32","371
317
54","6589
5378
1211","7056
5759
1297"
"V. Castelo
Dentro Localidade
Fora Localidade","794
514
280","20
10
10","70
29
41","994
628
366","1084
667
417"
"V. Real
Dentro Localidade
Fora Localidade","610
394
216","20
7
13","81
48
33","763
476
287","864
531
333"
