,,,,,,,,
Distrito de Lisboa,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
"A1(1)
A5(1)
A5(1)
A5(2)
A5(1)
A5(2)
A5(1)
A5(1)
A8(2)
EN10
EN10
EN10
EN10
EN117
EN6
EN6
EN8
IC19(2)
IC19(1)","10,600
0,200
3,900
4,000
4,400
7,100
7,400
14,300
6,800
115,750
124,300
128,700
135,850
0,400
4,000
11,400
30,300
6,000
9,900","10,700
0,400
4,000
4,200
4,600
7,300
7,600
14,500
6,900
115,921
124,500
128,900
136,000
0,500
4,200
11,600
30,461
6,200
10,050","5
5
5
9
8
7
10
6
6
5
7
5
9
5
8
5
6
5
8
124","6
6
7
19
17
9
20
10
12
10
12
7
16
11
17
10
12
13
13
227","0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1","1
0
1
0
0
1
0
1
1
0
2
0
1
0
1
3
0
0
0
12","5
8
5
13
12
9
15
7
7
13
11
6
10
8
9
7
7
13
9
174","25
24
25
39
36
37
45
31
31
39
53
118
40
24
37
51
21
39
27"
,,,,,,,,
Distrito de Santarém,,,,,,,,
,,,,,,,,
"EN118
EN118
EN3
EN3","34,000
38,100
17,500
31,300","34,140
38,100
17,700
31,500","6
7
5
5
23","11
16
6
8
41","0
0
0
0
0","0
1
0
2
3","13
14
8
4
39","39
52
24
32"
,,,,,,,,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
"A2(1)
A2(2)
EN10
EN10
EN378
IC20
IC20
IC21","5,500
5,675
14,000
16,800
4,900
2,000
6,800
8,800","5,700
5,800
14,200
17,000
5,100
2,200
7,000
9,000","5
5
5
7
6
8
6
5
47","12
11
11
14
14
16
8
9
95","0
1
0
0
1
1
0
0
3","1
0
1
1
0
2
0
1
6","4
7
6
14
5
10
11
6
63","22
121
28
52
115
150
33
28"
