,,,"Não
infractores",,,,,,,,"Total de
testes",,"Inf./Test.
%"
,,,,Infractores,,,,,,,,,
,,,,,,,,,,,,,
,,,0.00-0.49 g/l,"0.50-0.79
g/l",,"0.80-1.19
g/l",">=1,20 g/l",,Total,,,,
00-04,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","1926
63180
1285
68215","52
2442
20
2520","87
2867
33
2993",,"332
6306
33
7052",,"471
11615
86
12565",,"2397
74795
1371
80780",,"19,6
15,5
6,3
15,6"
04-08,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","1119
38456
1194
42044","27
1692
7
1726","25
2226
25
2287",,"90
3577
27
3991",,"142
7495
59
8004",,"1261
45951
1253
50048",,"11,3
16,3
4,7
16,0"
08-12,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","2432
66333
5551
85535","15
376
31
425","20
389
8
429",,"68
654
13
910",,"103
1419
52
1764",,"2535
67752
5603
87299",,"4,1
2,1
0,9
2,0"
12-16,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","2688
74970
5620
95490","51
776
37
872","45
587
20
674",,"91
949
31
1470",,"187
2312
88
3016",,"2875
77282
5708
98506",,"6,5
3,0
1,5
3,1"
16-20,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","3691
80843
5698
104504","48
1032
32
1117","103
1023
25
1175",,"285
1894
34
2867",,"436
3949
91
5159",,"4127
84792
5789
109663",,"10,6
4,7
1,6
4,7"
20-24,,"Duas rodas
Ligeiros
Pesados
Sub-total(1)","2673
59518
1987
70947","67
1213
24
1325","78
1302
41
1478",,"255
2800
51
3692",,"400
5315
116
6495",,"3073
64833
2103
77442",,"13,0
8,2
5,5
8,4"
,,Duas rodas,14534,260,,358,,1121,,1739,,16273,"10,7"
,Total(2),Ligeiros,333441,7533,,8396,,16183,,32112,,365553,"8,8"
,,Pesados,21335,151,,152,,189,,492,,21827,"2,3"
,,Sub-total(1),466889,7987,,9038,,19986,,37011,,503900,"7,3"
