,,"Vítimas
mortais",,"Feridos
graves",,"Feridos
leves",,"Total de
vítimas",
,,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,,
"Dentro das
localidades",A sair ou entrar num veículo,2,2,5,12,73,95,80,109
,Atravessando em passagem sinalizada,21,26,102,132,1890,2034,2013,2192
,"Atravessando em passagem sinalizada com desrespeito da
sinalização semafórica",3,0,11,4,106,99,120,103
,"Atravessando fora da passagem de peões a mais de 50m
de uma passagem ou quando não exista passagem",16,17,40,39,376,414,432,470
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",22,8,59,55,526,552,607,615
,Em ilhéu ou refúgio na via,1,2,3,8,65,61,69,71
,Em plena faixa de rodagem,23,23,46,53,494,541,563,617
,Em trabalhos na via,0,1,1,0,23,28,24,29
,N.D.,2,4,12,9,83,90,97,103
,"Surgindo inesperadamente na faixa de rodagem de trás de
um obstáculo",10,9,22,31,332,297,364,337
,Transitando pela berma ou passeio,12,15,45,43,428,362,485,420
,Transitando pela direita da faixa de rodagem,6,4,8,10,138,158,152,172
,Transitando pela esquerda da faixa de rodagem,3,2,9,9,66,87,78,98
,TOTAL,121,113,363,405,4600,4818,5084,5336
"Fora das
localidades",A sair ou entrar num veículo,0,1,2,1,4,6,6,8
,Atravessando em passagem sinalizada,1,0,0,1,6,6,7,7
,"Atravessando em passagem sinalizada com desrespeito da
sinalização semafórica",0,0,1,1,1,1,2,2
,"Atravessando fora da passagem de peões a mais de 50m
de uma passagem ou quando não exista passagem",8,3,6,7,7,8,21,18
,"Atravessando fora da passagem de peões, a menos de
50m de uma passagem",1,0,1,1,0,2,2,3
,Em ilhéu ou refúgio na via,0,0,0,0,2,3,2,3
,Em plena faixa de rodagem,16,21,11,6,18,27,45,54
,Em trabalhos na via,1,1,1,1,2,8,4,10
,N.D.,1,-,0,-,0,-,1,-
,"Surgindo inesperadamente na faixa de rodagem de trás de
um obstáculo",4,1,3,4,10,8,17,13
,Transitando pela berma ou passeio,3,2,7,2,27,21,37,25
,Transitando pela direita da faixa de rodagem,2,1,1,1,6,11,9,13
,Transitando pela esquerda da faixa de rodagem,1,1,1,1,6,5,8,7
,TOTAL,38,31,34,26,89,106,161,163
