,FERIDOS GRAVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
<=14,17,17,23,17,0,0,40,34
15-19,25,24,35,29,0,0,60,53
20-24,23,16,39,31,0,0,62,47
25-29,15,17,12,19,0,0,27,36
30-34,8,11,21,15,0,0,29,26
35-39,8,13,9,21,0,0,17,34
40-44,8,10,12,11,0,0,20,21
45-49,9,14,14,19,0,0,23,33
50-54,15,10,9,9,0,0,24,19
55-59,10,16,3,9,0,0,13,25
60-64,9,7,3,3,0,0,12,10
65-69,12,9,4,3,0,0,16,12
70-74,14,11,7,3,0,0,21,14
>=75,19,22,8,12,0,0,27,34
N.D.,1,1,0,1,0,0,1,2
TOTAL,193,198,199,202,0,0,392,400
