Via,"Km
Inicial","Km
Final","Nº de
Acidentes","Nº de
Veículos","Nº de
Mortos","Nº de
F.Graves","Nº de
F.Leves","Indicador de
Gravidade"
A1,"302,500","302,600",5,14,0,0,8,24
A20,"8,700","8,900",7,14,0,0,9,27
A20,"9,500","9,700",11,18,0,0,14,42
A20,"11,500","11,600",17,28,0,0,23,69
A20,"12,593","12,750",11,15,0,0,17,51
A20,"14,300","14,500",5,15,0,0,7,21
A28,"10,200","10,350",5,12,0,0,8,24
A5,"0,500","0,700",6,8,0,0,7,21
A5,"4,900","5,100",5,12,0,0,7,21
A5,"7,100","7,300",6,9,0,0,8,24
A5,"7,200","7,400",5,7,0,0,8,24
A8,"10,400","10,600",7,7,0,0,9,27
EN1,"104,975","105,000",6,15,0,1,6,28
EN1,"128,250","128,400",6,13,0,0,7,21
EN1,"130,800","130,950",6,14,0,0,8,24
EN10,"128,000","128,200",7,14,0,1,6,28
EN101,"99,300","99,500",6,8,0,0,10,30
EN103,"13,000","13,200",6,10,0,0,10,30
EN103,"59,300","59,450",5,6,0,0,7,21
EN106,"30,200","30,340",5,9,0,0,7,21
EN109,"59,000","59,000",5,9,0,1,6,28
EN111,"13,000","13,100",5,10,0,0,11,33
EN114,"70,920","71,100",5,11,0,0,8,24
EN118,"47,150","47,300",5,10,0,0,8,24
EN12,"4,300","4,500",7,14,0,0,8,24
EN12,"8,200","8,300",5,8,0,1,10,40
EN12,"10,000","10,200",6,9,1,0,7,121
EN125,"50,850","51,000",7,17,0,0,8,24
EN125,"51,300","51,400",5,11,0,0,7,21
EN125,"102,200","102,400",7,9,0,0,9,27
EN18,"36,650","36,800",5,8,0,0,7,21
EN2,"735,000","735,200",5,10,0,2,3,29
EN206,"15,846","16,000",5,10,1,0,13,139
EN206,"36,800","37,000",5,10,0,0,9,27
EN222,"5,385","5,550",5,11,1,1,3,119
EN226,"88,600","88,665",5,7,0,1,6,28
EN310,"30,700","30,900",5,7,0,0,8,24
EN6,"5,900","6,000",5,8,0,0,9,27
EN8,"21,700","21,900",6,9,0,1,6,28
IC17,"8,800","9,000",6,8,0,0,7,21
IC17,"12,800","13,000",5,8,0,0,7,21
IC17,"12,900","13,100",11,16,0,0,11,33
IC17,"13,700","13,900",7,10,0,0,8,24
IC17,"18,600","18,800",5,10,0,3,4,42
IC19,"0,900","1,100",5,12,1,1,6,128
IC19,"3,300","3,500",5,12,0,0,7,21
IC19,"4,600","4,800",6,11,1,2,7,141
IC19,"5,800","5,900",5,10,0,1,7,31
IC19,"6,000","6,200",10,22,0,0,15,45
IC19,"6,400","6,600",5,18,1,0,9,127
IC20,"1,700","1,900",5,11,0,0,8,24
IP7,"6,100","6,200",6,11,0,0,13,39
IP7,"7,800","8,000",6,9,0,0,7,21
IP7,"7,800","8,000",6,10,0,1,7,31
IP7,"9,900","10,100",8,9,0,0,11,33
IP7,"10,300","10,500",12,18,0,0,19,57
IP7,"10,500","10,700",6,8,0,0,7,21
IP7,"10,550","10,750",8,9,0,0,11,33
