,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2013,2014,2013,2014,2013,2014,2013,2014
,,,,,,,,
<=5,53,60,92,93,0,0,145,153
6-9,79,75,128,110,0,0,207,185
10-14,178,161,193,181,0,0,371,342
15-19,259,247,162,163,0,0,421,410
20-24,160,173,112,108,0,0,272,281
25-29,122,114,81,78,0,0,203,192
30-34,121,99,89,92,0,0,210,191
35-39,99,140,111,109,0,0,210,249
40-44,149,133,109,119,0,0,258,252
45-49,159,140,107,112,0,0,266,252
50-54,198,179,125,119,0,0,323,298
55-59,168,177,124,121,0,0,292,298
60-64,220,180,125,116,1,0,346,296
65-69,172,181,120,128,0,0,292,309
70-74,189,187,148,132,0,0,337,319
>=75,428,427,342,344,0,0,770,771
N.D.,2,0,2,4,0,0,4,4
TOTAL,2756,2673,2170,2129,1,0,4927,4802
