,Vítimas,,Feridos,,Feridos,,Total de,,Mortos,,Feridos graves,
,mortais,,graves,,leves,,vítimas,,por 100 vítimas,,por 100 vítimas,
,,,,,,,,,,,,
,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015,2014,2015
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Peões,145,146,414,428,4795,4825,5354,5399,3,3,8,8
Veíc. Ligeiros *,275,264,906,944,23312,24190,24493,25398,1,1,4,4
Veíc. Pesados *,10,19,28,57,521,577,559,653,2,3,5,9
Velocípedes *,35,25,105,132,1705,1806,1845,1963,2,1,6,7
Ciclomotores *,43,42,182,192,2581,2709,2806,2943,2,1,6,7
Motociclos *,91,73,311,326,3635,4210,4037,4609,2,2,8,7
Outros*,39,24,64,69,456,491,559,584,7,4,11,12
TOTAL,638,593,2010,2148,37005,38808,39653,41549,2,1,5,5
